weight_contact,ewma_alpha,corrected_rmse,imputed_rmse,n_test_points,n_imputed,n_corrected,improvement_pct
0.7000000000000001,0.7000000000000001,0.6526090653180712,0.6803242194990053,89,76,76,4.073815599471643
0.7000000000000001,0.8,0.6478382578841821,0.6792508600886078,89,76,76,4.624595131219694
0.7000000000000001,0.9,0.6438276362968443,0.6857362685060894,89,76,76,6.111479607246846
0.7000000000000001,1.0,0.6597067590702008,1.1735776454117208,89,76,76,43.78669688797975
0.8,0.0,0.9803017455187277,0.7390384432546523,89,76,76,-32.64556863937628
0.8,0.1,0.7211509992319332,0.7292954708619208,89,76,76,1.1167588385489469
0.8,0.2,0.687939830829337,0.7196133487004823,89,76,76,4.401463359225223
0.8,0.30000000000000004,0.6758083892867769,0.7101888953749412,89,76,76,4.841036844150217
0.8,0.4,0.6686006132378762,0.7010263940887728,89,76,76,4.6254721825481475
0.8,0.5,0.6630742836601218,0.6920321283419486,89,76,76,4.18446535874099
0.8,0.6000000000000001,0.6582200682921729,0.6834964828819847,89,76,76,3.6981045583779704
0.8,0.7000000000000001,0.6534688702678132,0.6770693025425539,89,76,76,3.4856745367299298
0.8,0.8,0.648269153534805,0.6758681035792563,89,76,76,4.0834816583728495
0.8,0.9,0.6435673067856612,0.6828060927841199,89,76,76,5.746695352184653
0.8,1.0,0.660628509745977,1.3061363070279894,89,76,76,49.42116636745323
0.9,0.0,0.9828342987890263,0.7481670932426816,89,76,76,-31.365614401624864
0.9,0.1,0.6959168341731362,0.736784681253792,89,76,76,5.546782950360845
0.9,0.2,0.6807975052321242,0.7253511678097359,89,76,76,6.142357599305378
0.9,0.30000000000000004,0.6739997060301994,0.7141175040708713,89,76,76,5.617814689036164
0.9,0.4,0.6688312588275604,0.7031244762756256,89,76,76,4.8772612254536485
0.9,0.5,0.6641566713664117,0.6923270773660348,89,76,76,4.068944711334671
0.9,0.6000000000000001,0.6595528065283187,0.6821724928221699,89,76,76,3.3158308978822584
0.9,0.7000000000000001,0.6546371601886515,0.6747053093500364,89,76,76,2.9743576763486756
0.9,0.8,0.6489127131492458,0.6734044039032252,89,76,76,3.6369959287493883
0.9,0.9,0.6434607697858279,0.6806804549230552,89,76,76,5.468011438852705
0.9,1.0,0.6624936681716149,1.4445109485547856,89,76,76,54.1371653268235
1.0,0.0,0.39678812732665203,0.7592003237478784,89,76,52,47.73604345057935
1.0,0.1,0.6845691416611545,0.7460381260629502,89,76,76,8.239389148405131
1.0,0.2,0.6796321875995699,0.7326963577850193,89,76,76,7.24231390283763
1.0,0.30000000000000004,0.6749624227953677,0.7194825915976187,89,76,76,6.187803474632174
1.0,0.4,0.670446951786614,0.7064804045193385,89,76,76,5.10041786045577
1.0,0.5,0.6659445733861198,0.6937076801161746,89,76,76,4.002133395064232
1.0,0.6000000000000001,0.6612569822478988,0.681798824817335,89,76,76,3.012889113579764
1.0,0.7000000000000001,0.6560315389256227,0.6732416250470069,89,76,76,2.5563015537226406
1.0,0.8,0.6497162701172813,0.6718698714873493,89,76,76,3.2973053726945074
1.0,0.9,0.6434681756915042,0.6793669068022661,89,76,76,5.284144804717499
1.0,1.0,0.6683449625342803,1.5871811407914087,89,76,76,57.89107208008869
