weight_contact,ewma_alpha,corrected_rmse,imputed_rmse,n_test_points,n_imputed,n_corrected,improvement_pct
0.0,0.0,0.9681363400519482,0.7399639932559041,89,76,76,-30.835601309742984
0.0,0.1,0.9171548207493654,0.7366989404699028,89,76,76,-24.495200191866566
0.0,0.2,0.8722543211011513,0.7338860193737682,89,76,76,-18.854195075885773
0.0,0.30000000000000004,0.832310902253183,0.7314741530120084,89,76,76,-13.785415222938068
0.0,0.4,0.7965803753728552,0.7294601663511879,89,76,76,-9.201353564980439
0.0,0.5,0.7646333613036357,0.7278948217491433,89,76,76,-5.047231888009457
0.0,0.6000000000000001,0.7363576490662748,0.7268954868395059,89,76,76,-1.3017225169342763
0.0,0.7000000000000001,0.711991109470953,0.7266372877089994,89,76,76,2.0156106059770234
0.0,0.8,0.6916632574376995,0.7271488022121985,89,76,76,4.8800939596601935
0.0,0.9,0.6729017275109538,0.7276227486757685,89,76,76,7.520520938137764
0.0,1.0,0.6558031429869061,0.7279251178530752,89,76,76,9.907883805257871
0.1,0.0,0.962866294090469,0.7325866933000323,89,76,76,-31.433767893477853
0.1,0.1,0.8938424247917492,0.7292280995753108,89,76,76,-22.57377702701074
0.1,0.2,0.8381165121852452,0.7263126778596262,89,76,76,-15.393347484322344
0.1,0.30000000000000004,0.7927109663706328,0.7237977612223583,89,76,76,-9.521058069023734
0.1,0.4,0.7550901017273761,0.7216523311100078,89,76,76,-4.6335013656695425
0.1,0.5,0.7233667991608351,0.7198591549156247,89,76,76,-0.4872681303360758
0.1,0.6000000000000001,0.6971165131684532,0.7184575415259331,89,76,76,2.9703952041694235
0.1,0.7000000000000001,0.6775576466427801,0.7176525790517677,89,76,76,5.5869558027597375
0.1,0.8,0.6654577533058438,0.7178735935199347,89,76,76,7.301541759891384
0.1,0.9,0.658367302391881,0.719473597833985,89,76,76,8.49319497283401
0.1,1.0,0.6575665162552364,0.7037021268325425,89,76,76,6.556127773120232
0.2,0.0,0.9645890262236356,0.7272377661054628,89,76,76,-32.63736719687253
0.2,0.1,0.8747748011535563,0.7235767753526133,89,76,76,-20.895920232826874
0.2,0.2,0.8100094599745822,0.7203403457119609,89,76,76,-12.448159373052361
0.2,0.30000000000000004,0.7624758909289325,0.7175010865925185,89,76,76,-6.268255920001968
0.2,0.4,0.7265476770087931,0.7150080759006043,89,76,76,-1.6139119958405765
0.2,0.5,0.6986224686246567,0.7127894375646421,89,76,76,1.9875391235298128
0.2,0.6000000000000001,0.6774884148119362,0.710833235626507,89,76,76,4.690948473333788
0.2,0.7000000000000001,0.6634037548782179,0.7094161809272146,89,76,76,6.485956662118696
0.2,0.8,0.6556109067901378,0.7093655244255567,89,76,76,7.577844677319118
0.2,0.9,0.6518773521680715,0.7120122488711533,89,76,76,8.445767161789924
0.2,1.0,0.6579628316092144,0.7158426186301089,89,76,76,8.085546391699568
0.30000000000000004,0.0,0.9670995000095031,0.7239621723989376,89,76,76,-33.58425852622936
0.30000000000000004,0.1,0.8543449916312045,0.7197878262014981,89,76,76,-18.694004056695224
0.30000000000000004,0.2,0.7836597811532474,0.7160090867822091,89,76,76,-9.448301092806641
0.30000000000000004,0.30000000000000004,0.7375027971537885,0.7126207033601218,89,76,76,-3.491632179130298
0.30000000000000004,0.4,0.7057792946219902,0.7095600884441218,89,76,76,0.532836314176277
0.30000000000000004,0.5,0.6829890158863103,0.7067146593165171,89,76,76,3.357174372631875
0.30000000000000004,0.6000000000000001,0.6669392939350298,0.7040490028932118,89,76,76,5.270898588831706
0.30000000000000004,0.7000000000000001,0.6568231814453231,0.7019544347849035,89,76,76,6.429370782935462
0.30000000000000004,0.8,0.6511393086127543,0.70165250193354,89,76,76,7.199175258633983
0.30000000000000004,0.9,0.6483989051086603,0.7052605320572081,89,76,76,8.062499511022601
0.30000000000000004,1.0,0.6582241010780139,0.7626118876709946,89,76,76,13.688192943304294
0.4,0.0,0.9697645324879737,0.7227881010668689,89,76,76,-34.16996365277128
0.4,0.1,0.8317874333437923,0.7178907409660571,89,76,76,-15.86546334675745
0.4,0.2,0.7590029842271757,0.7133487941410002,89,76,76,-6.3999813921535225
0.4,0.30000000000000004,0.7171467187543747,0.709185851479419,89,76,76,-1.122536110717479
0.4,0.4,0.6908891190185851,0.7053360890566606,89,76,76,2.0482391674297196
0.4,0.5,0.673207275594808,0.7016606623455985,89,76,76,4.055149202133271
0.4,0.6000000000000001,0.6612700356961666,0.6981293345695468,89,76,76,5.27972354808826
0.4,0.7000000000000001,0.6537151674170653,0.6952922813307871,89,76,76,5.979803750178761
0.4,0.8,0.6489790285796995,0.6947610056353041,89,76,76,6.589600838887122
0.4,0.9,0.6463506085413951,0.6992390039073588,89,76,76,7.563707841013227
0.4,1.0,0.6584753590534529,0.8382334955239866,89,76,76,21.444876329854303
